Bx,By,Bz
1.554236220256647094e+01,-1.667757435264531685e+00,-2.533479970719699637e+01
1.554190470698820725e+01,-1.667977737146270512e+00,-2.533499575652210822e+01
1.551123282104902401e+01,-1.671829030545961547e+00,-2.533687631547902797e+01
1.548065874089360072e+01,-1.675726707685402994e+00,-2.533863810043569842e+01
1.545018283207214793e+01,-1.679670978115213043e+00,-2.534028183727307848e+01
1.541980545507382416e+01,-1.683662051311812125e+00,-2.534180825580279262e+01
1.538952696853285573e+01,-1.687700135171320781e+00,-2.534321808836820011e+01
1.535934772783851443e+01,-1.691785436650359964e+00,-2.534451207040734744e+01
1.532926808372343075e+01,-1.695918162349382419e+00,-2.534569094101653519e+01
1.529928838550251591e+01,-1.700098517089686734e+00,-2.534675544154977800e+01
1.526940897733619273e+01,-1.704326705499875860e+00,-2.534770631716380507e+01
1.523963020148116598e+01,-1.708602930621827110e+00,-2.534854431541723230e+01
1.520995239688285317e+01,-1.712927394504023093e+00,-2.534927018683355726e+01
1.518037589774553098e+01,-1.717300298736250674e+00,-2.534988468546334772e+01
1.515090103681590605e+01,-1.721721843140333386e+00,-2.535038856748398572e+01
1.512152814159700753e+01,-1.726192227226916565e+00,-2.535078259274243706e+01
1.509225753764379618e+01,-1.730711648915616019e+00,-2.535106752335541813e+01
1.506308954713720638e+01,-1.735280305079898833e+00,-2.535124412427130736e+01
1.503402448743549158e+01,-1.739898392032792840e+00,-2.535131316382974020e+01
1.500506267440420238e+01,-1.744566104332675671e+00,-2.535127541236455428e+01
1.497620441857845641e+01,-1.749283636108852402e+00,-2.535113164374095618e+01
1.494745002850507554e+01,-1.754051179897288648e+00,-2.535088263395985919e+01
1.491879980929835625e+01,-1.758868927136478577e+00,-2.535052916171738246e+01
1.489025406117261596e+01,-1.763737068603183022e+00,-2.535007200896042079e+01
1.486181308281832614e+01,-1.768655793335287330e+00,-2.534951195949621194e+01
1.483347716751340606e+01,-1.773625289823946183e+00,-2.534884980052011727e+01
1.480524660651177093e+01,-1.778645744966780518e+00,-2.534808632122749827e+01
1.477712168758000466e+01,-1.783717344514030412e+00,-2.534722231336936815e+01
1.474910269351070013e+01,-1.788840273453736529e+00,-2.534625857180270003e+01
1.472118990554620765e+01,-1.794014715053159570e+00,-2.534519589310972165e+01
1.469338359943706607e+01,-1.799240851915840489e+00,-2.534403507711292747e+01
1.466568404887823540e+01,-1.804518865053787557e+00,-2.534277692549736827e+01
1.463809152402701130e+01,-1.809848934283144306e+00,-2.534142224236153496e+01
1.461060628999705457e+01,-1.815231238558138172e+00,-2.533997183476082071e+01
1.458322861032966422e+01,-1.820665955132700020e+00,-2.533842651133980084e+01
1.455595874299976700e+01,-1.826153260480565033e+00,-2.533678708383094502e+01
