,X,Y,Z
0,16.03,5.14,40.54
1,16.03,5.14,40.54
2,15.98,5.17,40.49
3,16.01,5.17,40.52
4,16.01,5.17,40.52
5,15.98,5.14,40.54
6,16.01,5.2,40.57
7,15.98,5.2,40.52
8,15.98,5.17,40.49
9,16.03,5.17,40.51
10,15.98,5.17,40.54
11,15.98,5.2,40.54
12,16.01,5.17,40.52
13,16.01,5.17,40.52
14,16.03,5.14,40.51
15,16.01,5.17,40.54
16,16.01,5.17,40.54
17,16.03,5.17,40.49
18,16.01,5.12,40.51
19,15.98,5.14,40.49
20,16.03,5.14,40.54
21,16.01,5.17,40.54
22,16.01,5.17,40.54
23,16.01,5.14,40.49
24,15.98,5.17,40.49
25,16.01,5.17,40.54
26,16.01,5.17,40.57
27,16.01,5.17,40.52
28,16.01,5.17,40.52
29,16.01,5.2,40.49
30,16.01,5.2,40.54
31,16.01,5.17,40.52
32,16.01,5.17,40.49
33,16.01,5.17,40.49
34,16.01,5.14,40.51
35,16.11,5.0,35.82
36,15.32,4.94,35.38
37,15.37,4.94,35.37
38,15.35,4.92,35.3
39,15.34,4.94,35.37
40,15.37,4.94,35.32
41,15.34,4.97,35.37
42,15.37,4.94,35.37
43,15.32,4.94,35.3
44,15.37,4.92,35.37
45,15.37,5.0,35.35
46,15.34,4.94,35.4
47,15.37,4.92,35.35
48,15.34,4.94,35.35
49,15.37,4.94,35.37
50,15.37,4.94,35.35
51,15.34,4.94,35.37
52,15.37,4.94,35.32
53,15.32,4.89,35.3
54,15.34,4.92,35.37
55,15.57,4.78,28.2
56,13.9,4.55,25.46
57,13.86,4.52,25.12
58,13.83,4.52,25.2
59,13.86,4.52,25.15
60,13.86,4.52,25.17
61,13.83,4.55,25.25
62,13.83,4.49,25.12
63,13.83,4.49,25.2
64,13.83,4.49,25.12
65,13.86,4.52,25.17
66,13.83,4.52,25.23
67,13.83,4.49,25.1
68,13.8,4.49,25.2
69,13.83,4.52,25.15
70,13.86,4.52,25.17
71,13.86,4.55,25.23
72,13.83,4.52,25.1
73,13.83,4.52,25.2
74,13.86,4.55,25.17
75,13.83,4.55,25.18
76,13.86,4.58,25.23
77,13.86,4.6,25.1
78,13.83,4.55,25.2
79,13.86,4.52,25.12
80,13.86,4.52,25.17
81,13.83,4.52,25.2
82,13.83,4.52,25.12
83,13.8,4.49,25.2
84,13.86,4.49,25.12
85,13.86,4.52,25.17
86,12.65,4.12,15.04
87,11.91,4.04,13.88
88,11.83,3.98,13.83
89,11.91,3.95,13.7
90,11.86,3.98,13.83
91,11.88,4.01,13.78
92,11.89,4.01,13.75
93,11.88,3.98,13.8
94,11.91,3.98,13.7
95,11.86,3.98,13.83
96,11.91,3.98,13.75
97,11.91,3.98,13.75
98,11.86,3.98,13.75
99,11.89,3.95,13.67
100,11.88,3.98,13.83
101,11.91,4.01,13.72
102,11.89,4.01,13.75
103,11.86,3.98,13.75
104,11.91,4.01,13.72
105,12.08,3.66,4.87
106,9.89,3.45,0.47
107,9.75,3.4,-0.15
108,9.75,3.37,-0.28
109,9.83,3.37,-0.36
110,9.75,3.4,-0.28
111,9.8,3.39,-0.36
112,9.75,3.4,-0.3
113,9.78,3.42,-0.33
114,9.81,3.37,-0.38
115,9.75,3.34,-0.28
116,9.8,3.42,-0.33
117,9.75,3.37,-0.33
118,9.75,3.39,-0.35
119,9.8,3.37,-0.36
