,X,Y,Z
0,17.33,0.86,39.84
1,17.33,0.86,39.84
2,17.33,0.92,39.86
3,17.33,0.94,39.82
4,17.33,0.89,39.86
5,17.3,0.89,39.87
6,17.3,0.94,39.87
7,17.35,0.94,39.89
8,17.35,0.94,39.89
9,17.3,0.89,39.84
10,17.3,0.89,39.84
11,17.33,0.92,39.86
12,17.33,0.92,39.86
13,17.33,0.92,39.86
14,17.33,0.89,39.86
15,17.3,0.89,39.87
16,17.33,0.92,39.86
17,17.33,0.89,39.84
18,17.3,0.92,39.84
19,17.3,0.89,39.84
20,17.27,0.92,39.87
21,17.33,0.91,39.84
22,17.32,0.97,39.86
23,17.33,0.91,39.84
24,17.3,0.92,39.84
25,17.3,0.92,39.89
26,17.32,0.97,39.86
27,17.32,0.94,39.86
28,17.28,0.94,39.82
29,17.3,0.94,39.84
30,17.3,0.94,39.84
31,17.32,0.94,39.86
32,17.3,0.94,39.87
33,17.3,0.91,39.79
34,17.3,0.92,39.87
35,17.3,0.94,39.84
36,17.32,0.97,39.86
37,17.33,0.94,39.84
38,17.27,0.92,39.87
39,17.27,0.97,35.53
40,16.55,1.03,35.19
41,16.52,1.09,35.19
42,16.53,1.03,35.17
43,16.53,1.0,35.17
44,16.47,1.03,35.2
45,16.52,1.03,35.22
46,16.52,1.06,35.24
47,16.52,1.03,35.19
48,16.5,1.06,35.15
49,16.5,1.06,35.17
50,16.53,1.06,35.17
51,16.53,1.12,35.17
52,16.5,1.06,35.2
53,16.5,1.03,35.2
54,16.52,1.03,35.24
55,16.52,1.06,35.22
56,16.5,1.12,35.2
57,16.53,1.06,35.15
58,16.5,1.0,35.12
59,16.5,1.06,35.17
60,16.5,1.06,35.17
61,16.52,1.06,35.22
62,16.5,1.09,35.17
63,16.5,0.97,35.2
64,16.5,1.06,35.2
65,16.5,1.06,35.17
66,16.53,1.09,35.17
67,16.5,1.09,35.12
68,17.01,1.01,28.64
69,14.9,1.15,26.12
70,14.78,1.2,25.96
71,14.76,1.18,25.91
72,14.76,1.18,25.89
73,14.73,1.12,25.89
74,14.79,1.12,25.86
75,14.79,1.15,25.84
76,14.77,1.15,25.82
77,14.74,1.12,25.82
78,14.76,1.09,25.89
79,14.78,1.12,25.96
80,14.78,1.18,25.96
81,14.76,1.18,25.91
82,14.74,1.15,25.84
83,14.74,1.12,25.84
84,14.76,1.15,25.84
85,14.79,1.15,25.84
86,14.76,1.15,25.87
87,14.79,1.09,25.89
88,14.76,1.12,25.91
89,14.76,1.09,25.91
90,14.76,1.09,25.91
91,14.77,1.15,25.82
92,14.76,1.12,25.84
93,14.74,1.12,25.79
94,14.79,1.12,25.91
95,14.81,1.15,25.91
96,14.79,1.12,25.89
97,14.76,1.09,25.89
98,14.76,1.12,25.89
99,14.76,1.12,25.84
100,14.76,1.12,25.84
101,14.77,1.15,25.79
102,14.79,1.06,25.84
103,14.66,1.26,16.76
104,12.58,1.34,15.37
105,12.57,1.37,15.2
106,12.49,1.34,15.16
107,12.49,1.34,15.16
108,12.47,1.31,15.09
109,12.49,1.34,15.08
110,12.52,1.34,15.03
111,12.58,1.34,15.06
112,12.54,1.31,15.13
113,12.51,1.34,15.2
114,12.51,1.34,15.2
115,12.52,1.4,15.16
116,12.49,1.31,15.11
117,12.5,1.29,15.06
118,12.49,1.31,15.08
119,12.52,1.37,15.08
120,12.52,1.37,15.08
121,12.52,1.34,15.13
122,12.49,1.29,15.16
123,12.52,1.31,15.15
124,12.54,1.34,15.13
125,12.49,1.31,15.08
126,12.47,1.29,15.04
127,12.49,1.29,15.08
128,12.72,1.3,13.13
129,10.89,1.55,2.84
130,10.23,1.6,1.35
131,10.17,1.6,1.12
132,10.1,1.54,1.0
133,10.1,1.6,1.0
134,10.1,1.63,0.98
135,10.13,1.6,0.93
136,10.16,1.63,0.93
137,10.15,1.6,1.02
138,10.17,1.66,1.07
139,10.14,1.63,1.07
140,10.1,1.57,1.0
141,10.07,1.6,0.96
142,10.07,1.57,0.98
143,10.1,1.6,0.98
144,10.18,1.57,1.0
145,10.18,1.57,1.02
146,10.15,1.57,1.02
147,10.15,1.57,1.02
148,10.12,1.6,1.03
149,10.1,1.6,1.0
150,10.1,1.6,1.0
151,10.1,1.54,0.91
152,10.13,1.54,0.98
153,10.2,1.57,1.04
154,10.17,1.57,1.07
155,10.17,1.57,1.07
156,10.1,1.54,1.0
157,10.1,1.52,0.98
158,10.1,1.6,1.0
159,10.18,1.6,0.95
160,10.16,1.54,0.93
161,10.18,1.49,1.02
162,10.18,1.54,1.02
163,10.12,1.57,1.07
164,10.12,1.54,1.0
165,10.1,1.54,0.96
166,10.15,1.51,0.23
167,7.84,1.52,-0.19
168,7.84,1.52,-0.19
169,7.66,1.55,-0.25
170,7.63,1.49,-0.22
171,7.6,1.5,-0.2
172,7.6,1.5,-0.2
173,7.55,1.55,-0.27
174,7.55,1.55,-0.24
175,7.56,1.55,-0.31
176,7.61,1.58,-0.29
177,7.63,1.58,-0.22
178,7.63,1.58,-0.17
179,7.66,1.55,-0.2
180,7.66,1.55,-0.2
181,7.56,1.44,-0.27
182,7.55,1.55,-0.24
183,7.53,1.55,-0.26
184,7.63,1.55,-0.25
185,7.63,1.49,-0.22
186,7.63,1.52,-0.2
187,7.65,1.55,-0.15
188,7.63,1.55,-0.17
189,7.55,1.52,-0.24
190,7.53,1.52,-0.29
191,7.53,1.52,-0.26
192,7.61,1.58,-0.27
193,5.93,1.51,0.03
194,5.42,1.51,0.09
195,5.37,1.48,0.07
196,5.34,1.48,0.1
197,5.34,1.54,0.1
198,5.29,1.54,0.05
199,5.32,1.51,0.03
200,5.29,1.45,0.05
201,5.37,1.48,0.07
202,5.4,1.51,0.12
203,5.42,1.51,0.12
204,5.37,1.57,0.09
205,5.32,1.48,0.1
206,5.29,1.51,0.05
207,5.32,1.54,0.05
208,5.35,1.54,0.02
209,5.37,1.48,0.09
210,5.37,1.48,0.09
211,5.4,1.48,0.12
212,5.37,1.51,0.12
213,5.32,1.51,0.07
214,5.32,1.51,0.05
215,5.3,1.48,-0.02
216,5.32,1.51,0.05
217,5.37,1.57,0.07
218,5.37,1.54,0.09
219,5.4,1.54,0.09
220,5.37,1.48,0.09
221,5.37,1.54,0.09
222,5.32,1.57,0.03
223,3.92,1.52,-0.07
224,3.44,1.46,-0.06
225,3.44,1.44,-0.07
226,3.46,1.44,0.01
227,3.51,1.44,0.05
228,3.51,1.44,0.03
229,3.46,1.44,0.03
230,3.44,1.38,-0.04
231,3.41,1.41,-0.04
232,3.44,1.44,-0.09
233,3.41,1.47,-0.02
234,3.49,1.44,-0.02
235,3.49,1.44,0.0
236,3.49,1.46,0.0
237,3.46,1.49,-0.02
238,3.41,1.49,-0.06
